"","L4x4","DecidR_sum","Decid1_sum","Decid2_sum","Decid3_sum","Decid4_sum","Decid5_sum","Decid6_sum","Decid7_sum","Decid8_sum","Decid9_sum","MixedwoodR_sum","Mixedwood1_sum","Mixedwood2_sum","Mixedwood3_sum","Mixedwood4_sum","Mixedwood5_sum","Mixedwood6_sum","Mixedwood7_sum","Mixedwood8_sum","Mixedwood9_sum","PineR_sum","Pine1_sum","Pine2_sum","Pine3_sum","Pine4_sum","Pine5_sum","Pine6_sum","Pine7_sum","Pine8_sum","Pine9_sum","SpruceR_sum","Spruce1_sum","Spruce2_sum","Spruce3_sum","Spruce4_sum","Spruce5_sum","Spruce6_sum","Spruce7_sum","Spruce8_sum","Spruce9_sum","TreedBogR_sum","TreedBog1_sum","TreedBog2_sum","TreedBog3_sum","TreedBog4_sum","TreedBog5_sum","TreedBog6_sum","TreedBog7_sum","TreedBog8_sum","TreedBog9_sum","TreedFenR_sum","TreedFen1_sum","TreedFen2_sum","TreedFen3_sum","TreedFen4_sum","TreedFen5_sum","TreedFen6_sum","TreedFen7_sum","TreedFen8_sum","TreedFen9_sum","TreedSwampR_sum","TreedSwamp1_sum","TreedSwamp2_sum","TreedSwamp3_sum","TreedSwamp4_sum","TreedSwamp5_sum","TreedSwamp6_sum","TreedSwamp7_sum","TreedSwamp8_sum","TreedSwamp9_sum","GrassHerb_sum","Shrub_sum","GraminoidFen_sum","Marsh_sum","ShrubbyBog_sum","ShrubbyFen_sum","ShrubbySwamp_sum","Bare_sum","SnowIce_sum","Water_sum","UrbanIndustrial_sum","UrbanResidence_sum","RuralResidentialIndustrial_sum","IndustrialSiteRural_sum","WindGenerationFacility_sum","OtherDisturbedVegetation_sum","MineSite_sum","PeatMine_sum","WellSite_sum","Pipeline_sum","TransmissionLine_sum","SeismicLineNarrow_sum","SeismicLineWide_sum","RoadHardSurface_sum","RailHardSurface_sum","RoadTrailVegetated_sum","RoadVegetatedVerge_sum","RailVegetatedVerge_sum","CultivationCrop_sum","CultivationAbandoned_sum","CultivationRoughPasture_sum","CultivationTamePasture_sum","HighDensityLivestockOperation_sum","BorrowpitsDugoutsSumps_sum","MunicipalWaterSewage_sum","Reservoirs_sum","Canals_sum","CCDecidR_sum","CCDecid1_sum","CCDecid2_sum","CCDecid3_sum","CCDecid4_sum","CCMixedwoodR_sum","CCMixedwood1_sum","CCMixedwood2_sum","CCMixedwood3_sum","CCMixedwood4_sum","CCPineR_sum","CCPine1_sum","CCPine2_sum","CCPine3_sum","CCPine4_sum","CCSpruceR_sum","CCSpruce1_sum","CCSpruce2_sum","CCSpruce3_sum","CCSpruce4_sum","PropConifer.150.2017","PropWet.150.2017","TotalForest","Wt.For.Age.150.2017","PropSoftLinear.150.2017","PropHardLinear.150.2017","PropSoftPoly.150.2017","PropHardPoly.150.2017","zerolndscp"
"2","L-10-1",0,0,0,176482.612558303,13722.086671319,0,0,6165.96355503705,0,0,0,0,0,5714.99560950803,0,0,0,41887.4288218465,0,0,0,0,0,30429.7984308027,0,0,0,16093.2129327513,0,0,0,0,0,0,0,0,25188.3855227704,25347.8867208077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15714.2128256765,0,22834.6080306237,86205.249777857,0,0,0,35668.9538428275,694.89063988609,0,0,0,0,0,0,0,380981.6375341,119926.092153387,21701.5856800497,23833.3878952274,41874.2261240647,0,0,26719.8968655735,0,0,0,0,0,0,0,0,0,0,0,0,6546.94923434233,0,0,7230.89098740317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196127340911477,0.686275928161654,502150.285940017,84.8673359685447,0.0121823646526469,0,0,0,"-1"
"3","L-10-2",0,0,0,32046.4905723648,119689.071668733,0,0,0,0,0,0,0,0,40982.028394591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76339.9343630041,49695.9885804778,0,0,249769.146793111,0,0,0,0,0,0,0,0,0,0,0,0,153168.453856824,30388.8614918959,3643.09231111863,23165.9219380724,35550.5570298011,0,0,304366.419977168,0,0,0,0,0,0,0,0,0,0,0,0,6432.82754877509,0,0,3311.00884575554,0,0,0,0,2414.66216075861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332286797071347,0.818847230015291,568522.660372282,107.54600724754,0.00861549895799752,0,0,0.00213504398961473,"-2"
"4","L-10-3",0,0,0,46493.82582431,24918.4897518508,61239.4411889335,0,0,0,0,0,0,0,0,0,0,0,44268.768016802,0,0,0,0,0,16031.0545120901,33229.5688203788,0,0,101571.648029065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58308.6265649797,0,44794.0882202171,0,0,0,0,0,0,0,0,18799.9692166398,297068.984036908,12025.4421848505,21496.3618994355,81048.3133639955,0,0,0,0,0,0,0,0,0,0,0,0,101095.493849157,27566.2514179971,1431.82667615496,50856.6170231154,32952.9015295912,0,0,39927.6269133571,0,0,0,0,0,0,0,0,0,0,0,0,9914.20811140702,0,0,5924.24074988918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605123458042559,0.696194671543087,861294.581630456,98.6874665004715,0.0140043545617607,0,0,0,"-3"
"5","L-10-4",0,0,0,98845.327736606,25101.0517228403,51835.7024397909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17312.4899290287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35872.5990477758,0,0,0,0,0,0,0,0,101906.924719474,199989.33983482,82238.427457891,1953.25794139382,126426.090373885,0,0,0,0,0,0,0,0,0,0,0,0,275920.094746058,703.547018656791,4842.09171409811,66905.9898647836,25625.2434153489,0,0,776.333265816111,0,0,0,0,0,0,0,0,0,0,0,0,11647.945846303,0,0,2995.38972011278,0,0,0,0,65.9536900855866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500191101504615,0.816257906426897,741481.211203506,98.1204519235927,0.0129476355314093,0,0,5.83162447726869e-05,"-4"
"7","L-11-1",0,0,0,0,58517.255305039,499712.844455936,21992.2280435907,10686.6141789475,0,0,0,0,0,0,0,48388.4548420459,0,0,0,0,0,0,0,0,0,31784.2888115711,0,0,0,0,0,0,0,0,0,23440.1446998143,8817.04793563162,0,0,0,0,0,0,0,0,16145.3087779889,7578.47668202898,54505.366046742,11908.0927593554,0,0,0,0,0,0,79.8786910005078,0,0,0,0,0,0,0,0,0,7476.94981344832,0,0,0,0,0,0,0,0,0,2198.79400621485,36897.7669987367,0,0,2536.19081959762,0,0,0,28236.4728861999,0,0,0,0,116987.499293958,31514.9970699532,0,33668.6495914683,5933.61047428252,13263.4317982196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2642.53784496361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56050.2722680418,0,0,0,0.185955083240499,0.123192761404952,859725.761156145,78.6170915890686,0.0628818701319969,0.0117275247869693,0.103440332683704,0.0249666859005486,"-1"
"8","L-11-2",0,0,0,3555.90478810376,31248.7867633333,182741.515841508,281.801476657242,0,0,0,0,0,0,0,2937.23106368353,8073.80870923314,60.6812551044466,20359.8004906512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441.45246888727,3018.85499640398,0,4600.04223420281,0,0,0,0,0,6028.94918752259,99257.0941475159,95751.730334262,12502.1302115325,0,0,0,0,0,0,1096.50319542818,0,0,0,0,0,0,0,0,0,0,8379.97891762215,0,0,0,0,0,0,0,0,1179.50010225735,9993.27333363753,45062.7134124388,0,0,694.248574038233,0,0,0,138028.092292135,0,0,0,0,66882.7046722966,43332.5650002662,0,14428.3171490996,4392.88183100154,7644.09829387076,0,6756.88528120218,31411.2652191687,0,0,0,0,0,0,4623.99337436124,0,0,0,30315.4636510586,158980.108797233,80.5439242757559,0,0,0,0,36514.7645749586,0,0,0,0,0,0,0,437.362377611979,42431.3134167057,6437.19378816694,0,0,0.2413888891074,0.247528326595366,756533.016611663,58.3243927632345,0.0887046246135942,0.00675891078411797,0.059137679357555,0.126132956840874,"-2"
"9","L-11-3",0,0,0,0,127832.628385802,372939.717103631,17714.4348734928,0,0,0,0,0,0,0,0,159990.14714961,0,2778.40046441008,0,0,0,0,0,0,34044.5997272387,26737.1857746704,8703.86121732447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14469.4071374654,46903.1061394173,15765.4497100905,6721.49930317312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33266.3864429648,0,0,560.729471051385,0,0,0,1095.19471213847,0,0,0,0,44518.2112374986,41.151676857237,0,44169.2701680684,9622.12149839156,0,0,2922.20119957718,2761.90165022379,0,0,0,0,0,0,0,0,0,0,0,121026.495908631,0,0,0,0,36379.6573214019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135587726783458,0.1040584581713,992006.59021636,66.5709636853466,0.0526246113438584,0,0.0393629969755931,0.00096837103161233,"-3"
"10","L-11-4",0,0,0,0,8864.64482163178,124351.971683462,4504.93121584839,97.5094001807597,0,0,0,0,0,0,3253.54433000932,14946.8492406653,0,0,0,0,0,0,0,0,66.5559881422183,0,0,0,0,0,0,0,0,0,0,10405.2410594095,7287.23355956956,0,9577.99522041438,0,0,0,0,0,0,48826.604090893,71798.6928185491,11060.4744551553,0,0,0,0,0,0,337.272333470422,11553.436691143,1233.6084620611,0,0,0,0,0,0,0,0,31570.551216168,0,0,0,0,25.101387766871,0,0,0,0,520.370381592138,8520.35525453594,0,0,302.036918481044,0,0,0,328728.827392842,0,0,0,0,28970.8368612353,11035.0643153016,0,13717.3913190305,7876.96945996954,5.61952028219307,0,22628.107858657,15132.0750047322,0,0,0,0,0,0,54674.8658204256,0,0,0,88523.4260940067,56299.4609757698,2901.39274764517,0,0,0,70.3745333168679,58224.5951045858,0,0,0,0,0,0,0,0,60487.6555417412,12582.2201162152,0,0,0.216820833107948,0.164216610067897,638826.241700053,53.6720466618442,0.0622384828170704,4.96877915179861e-06,0.0256160104381876,0.339005499027617,"-4"
"12","L-12-1",0,0,0,0,14285.1879299864,582681.539452455,19531.1481663698,17292.9940048952,0,0,0,0,0,0,2105.94727168469,31842.9798957731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4075.98639090807,0,0,0,0,0,0,0,0,0,0,3991.19571562707,0,34132.7392372295,0,0,0,0,0,0,2256.9334166943,0,0,32515.7087532538,0,0,0,0,0,0,0,0,0,5402.29620849381,0,0,6918.40755429713,0,0,0,0,12565.5533197837,31636.8002014736,0,0,33.4217581626608,0,0,0,50997.2005635621,0,0,0,0,76306.5275757286,32491.4564995377,7337.11148530343,0,14679.7761644598,48562.2761726603,0,2008.36665946819,87468.2074816408,0,0,0,8949.90476422684,0,0,894.450153890299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068059131321112,0.108345121436647,750114.656443371,84.6791398636827,0.12731144728525,0.0429387587006685,0.0674702224255447,0.0537960959760764,"-1"
"13","L-12-2",0,0,0,42657.3956271317,144844.854097878,184910.645441809,77978.3186417068,2440.91103344688,14721.3238839047,0,0,0,0,0,17079.9240435727,0,0,0,0,0,0,0,0,0,0,0,0,0,12040.3037265902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58517.0614879634,0,0,0,0,0,0,0,0,43.7294402791206,18435.3364231177,0,6215.119200949,0,0,0,0,0,0,0,0,0,0,0,0,10167.9654599375,2644.1509539956,0,854.52617739848,0,4203.8441055673,59831.8791200086,0,0,115438.157353238,0,0,0,64697.4323243217,0,0,0,0,141409.770778448,43726.5906367694,6160.85936987099,7069.32788367879,2253.53540675209,31367.9537543511,0,663.620774495219,60588.5314707961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0842214092014255,0.233021729484814,579884.92304835,77.526818372271,0.106512897418987,0.027735540904281,0.12503450216757,0.0572054618125759,"-2"
"14","L-12-3",0,0,0,0,12266.701040669,410378.63873277,58177.795896213,190907.432661006,358.815355181101,76.2300888932704,0,0,0,0,836.429990029686,0,0,98139.9507888642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2051.8906006176,0,0,0,0,0,0,4697.04487140143,0,12074.824738953,3157.13786086266,0,0,0,0,0,0,0,9874.7838795729,0,4636.27269116028,0,0,4283.6720195129,977.127480838794,0,261.526762380034,0,2699.99117651247,22603.1972958966,0,0,12228.2833945416,0,0,0,39424.3431353768,0,0,0,0,63379.0120504478,87970.1379030503,0,6007.97757689758,655.032296184015,30371.3255447739,0,2683.60496495177,49784.4324973135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187924536949245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194355074085646,0.0656827466713399,807634.137120731,96.1364849394106,0.130066850142619,0.0268543223622761,0.0560397147663571,0.0348589994176454,"-3"
"15","L-12-4",0,0,0,632.073683436499,38912.6312855974,212953.421073124,119291.327966435,134815.741274608,44832.5298843866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.644128796265,0,0,0,0,0,0,0,0,0,591.138319682605,0,0,0,0,0,0,0,0,0,0,11315.6641920677,0,0,0,0,0,0,0,0,32537.9294558849,43966.0880616079,6985.74132973171,28958.9405218176,0,0,0,0,0,0,0,28310.2148176631,0,0,0,0,0,14324.3944924639,0,6854.8886495246,0,0,2424.62915994992,0,0,72948.784917743,0,0,0,104049.430988573,0,0,0,0,59711.3369451126,59800.6712934818,0,2882.6384918965,724.031130502811,23614.3147403117,0,8956.31579732068,51076.6103017192,0,0,0,0,0,0,6121.75836926521,13171.1780398738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110130760791738,0.207170579050113,704302.085994839,94.6192817605574,0.10914586911978,0.0208797742286786,0.0527967568831535,0.10905930629012,"-4"
"17","L-13-1",0,0,0,0,103306.275885041,202317.978606937,306959.558334056,31.9563542341284,10.0746319564693,2.14034900825527,0,0,0,0,36200.6305853141,0,14519.6867058395,0,0,0,0,0,0,0,15964.9184978022,5.86967878801245,10246.7044021486,6351.23146044481,0,0,0,0,0,0,0,0,3378.65320657511,2935.40617349595,0,4689.55107043141,0,0,0,0,10037.0365766209,15167.7706675375,0,0,0,0,0,0,0,0,0,38957.4489884922,16845.168123334,0,0,0,0,0,0,0,0,0,0,0,0,0,2254.1679271688,0,0,683.618503454907,0,0,44542.8320146602,0,0,0,0,0,0,0,0,0,0,0,0,11573.4791663894,22132.0331239746,0,13462.2358264926,0,0,2031.51066659379,0,0,0,0,0,0,0,0,0,0,0,246357.063771216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110153407658294,0.111615976849967,1034285.12406927,66.34568336087,0.0435019786478554,0,0,0,"-1"
